id,name,brand,street,city,country,lat,lng,steak_available,logo_url
a2Pc40000001QEIEA2,"Brezelkönig Bahnhof Baden",Brezelkoenig,"Bahnhof Baden Gleis 1",Baden,Switzerland,47.4762321,8.3076213,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QEJEA2,"Brezelkönig Bahnhof Baden",Brezelkoenig,"Gleis 1",Baden,Switzerland,47.4762321,8.3076213,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QEKEA2,"Brezelkönig Globus",Brezelkoenig,"Marktplatz 2",Basel,Switzerland,47.5588986,7.5879691,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QELEA2,"Brezelkönig Bahnhof Basel, Passarelle 9/10",Brezelkoenig,"Passarelle, Perron 09/10",Basel,Switzerland,47.5469856,7.5891549,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QEMEA2,"Brezelkönig Bahnhof Bern, Ausgang Bollwerk",Brezelkoenig,"Bahnhofplatz",Bern,Switzerland,46.9492918,7.440233,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QENEA2,"Brezelkönig Bahnhof Bern, Unterführung Perron 3/4",Brezelkoenig,"UnterfUehrung, Perron 7/8",Bern,Switzerland,46.9489354,7.437076999999999,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QEOEA2,"Brezelkönig Bahnhof Bern, Welle",Brezelkoenig,"Bern Welle",Bern,Switzerland,46.9488345,7.4367046,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QEPEA2,"BREZELKÖNIG",Brezelkoenig,"Bahnhofplatz 4",Biel,Switzerland,47.1330258,7.242623300000001,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QEQEA2,"Brezelkönig",Brezelkoenig,"UnterfUehrung",Chur,Switzerland,46.8536555,9.5298945,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QEREA2,"Brezelkönig",Brezelkoenig,"Bahnhofplatz",Dietikon,Switzerland,47.4061332,8.404715,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QESEA2,"Brezelkönig",Brezelkoenig,"Staufacherstrasse 1",Emmen,Switzerland,47.07412739999999,8.2871613,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QETEA2,"Brezelkönig",Brezelkoenig,"Bahnhofplatz 75",Frauenfeld,Switzerland,47.5579638,8.8963606,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QEUEA2,"Brezelkönig Gare de Fribourg",Brezelkoenig,"Place de la gare 1",Fribourg,Switzerland,46.8033337,7.150662,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QEVEA2,"Brezelkönig",Brezelkoenig,"West, 3 Place Cornavin (VST)",Genève,Switzerland,46.2101704,6.1418881,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QEWEA2,"Brezelkönig Avenue de la gare des Eaux-Vives, Genève",Brezelkoenig,"Avenue De la Gare des Eaux-Vives 11",Genève,Switzerland,46.2009836,6.1664615,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QEXEA2,"Brezelkönig",Brezelkoenig,"Place de la Gare 3",Lausanne,Switzerland,46.5169106,6.630292499999999,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QEYEA2,"Brezelkönig Place de l'Europe 3, Lausanne",Brezelkoenig,"Voie du Chariot 5-7",Lausanne,Switzerland,46.5202153,6.6303053,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
a2Pc40000001QEZEA2,"Brezelkönig Place de l'Europe 3, Lausanne",Brezelkoenig,"Place de l`Europe 5",Lausanne,Switzerland,46.5202153,6.6303053,false,https://plantedstatic.blob.core.windows.net/logos/brezelkoenig.png
